priority_lane,domain_group,surface_lane,model,xmlid,view_name,classification,structural_score,field_count,group_count,notebook_count,page_count,button_box_count,statusbar_count,source_trace_field_count,recommendation,gaps
P0_contract_default_tabs,project,business_document,project.milestone,project.project_milestone_view_form,project.milestone.runtime.default.form,contract_auto_with_default_tabs,8,4,2,0,0,1,0,0,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_chatter
P0_contract_default_tabs,project,business_document,project.profit.compare,smart_construction_core.view_project_profit_compare_form,project.profit.compare.runtime.default.form,contract_auto_with_default_tabs,8,11,6,0,0,0,0,0,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,project,business_document,project.progress.entry,smart_construction_core.view_project_progress_entry_form,project.progress.entry.runtime.default.form,contract_auto_with_default_tabs,7,7,4,0,0,0,0,0,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,project,business_document,project.project.stage,project.project_project_stage_view_form_quick_create,project.project.stage.runtime.default.form,contract_auto_with_default_tabs,7,6,3,0,0,0,0,0,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,project,business_document,project.tags,project.project_tags_form_view,project.tags.runtime.default.form,contract_auto_with_default_tabs,7,2,1,0,0,0,0,0,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,project,business_document,project.task.type,project.task_type_edit,project.task.type.runtime.default.form,contract_auto_with_default_tabs,7,7,3,0,0,0,0,0,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,safety,business_document,sc.safety.patrol.task,smart_construction_core.view_sc_safety_patrol_task_form,sc.safety.patrol.task.runtime.default.form,contract_auto_with_default_tabs,7,12,3,0,0,0,0,0,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.account.income.expense.summary,smart_construction_core.view_sc_account_income_expense_summary_form,sc.account.income.expense.summary.runtime.default.form,contract_auto_with_default_tabs,8,17,4,0,0,0,0,0,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.approval.scope,smart_construction_core.view_sc_approval_scope_form,sc.approval.scope.runtime.default.form,contract_auto_with_default_tabs,8,6,4,0,0,0,0,0,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.check.standard,smart_construction_core.view_sc_check_standard_form,sc.check.standard.runtime.default.form,contract_auto_with_default_tabs,8,27,2,0,0,0,0,4,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.check.standard.item,smart_construction_core.view_sc_check_standard_item_form,sc.check.standard.item.runtime.default.form,contract_auto_with_default_tabs,7,12,1,0,0,0,0,0,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.company.operation.summary,smart_construction_core.view_sc_company_operation_summary_form,sc.company.operation.summary.runtime.default.form,contract_auto_with_default_tabs,8,28,5,0,0,0,0,1,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.comprehensive.cost.summary,smart_construction_core.view_sc_comprehensive_cost_summary_form,sc.comprehensive.cost.summary.runtime.default.form,contract_auto_with_default_tabs,8,26,7,0,0,0,0,1,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.construction.diary,smart_construction_core.view_sc_construction_diary_form,sc.construction.diary.runtime.default.form,contract_auto_with_default_tabs,9,21,6,0,0,0,1,0,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.dashboard.cockpit.fact,smart_construction_core.view_sc_dashboard_cockpit_fact_form,sc.dashboard.cockpit.fact.runtime.default.form,contract_auto_with_default_tabs,9,20,7,0,0,0,1,2,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.dictionary,smart_construction_core.view_sc_dictionary_form,sc.dictionary.runtime.default.form,contract_auto_with_default_tabs,7,5,1,0,0,0,0,0,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.expense.claim,smart_construction_core.view_sc_expense_claim_form,sc.expense.claim.runtime.default.form,contract_auto_with_default_tabs,9,38,9,0,0,0,1,1,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.expense.reimbursement.summary,smart_construction_core.view_sc_expense_reimbursement_summary_form,sc.expense.reimbursement.summary.runtime.default.form,contract_auto_with_default_tabs,8,15,4,0,0,0,0,2,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.financing.loan,smart_construction_core.view_sc_financing_loan_form,sc.financing.loan.runtime.default.form,contract_auto_with_default_tabs,9,24,5,0,0,0,1,1,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.fund.daily.summary,smart_construction_core.view_sc_fund_daily_summary_form,sc.fund.daily.summary.runtime.default.form,contract_auto_with_default_tabs,8,7,4,0,0,0,0,0,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.history.todo,smart_construction_core.view_sc_history_todo_form,sc.history.todo.runtime.default.form,contract_auto_with_default_tabs,9,27,7,0,0,0,1,9,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.invoice.category.summary,smart_construction_core.view_sc_invoice_category_summary_form,sc.invoice.category.summary.runtime.default.form,contract_auto_with_default_tabs,8,20,7,0,0,0,0,2,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.invoice.registration,smart_construction_core.view_sc_invoice_registration_form,sc.invoice.registration.runtime.default.form,contract_auto_with_default_tabs,9,35,7,0,0,0,1,2,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.operating.metrics.project,smart_construction_core.view_sc_operating_metrics_project_form,sc.operating.metrics.project.runtime.default.form,contract_auto_with_default_tabs,8,28,10,0,0,0,0,1,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.payment.execution,smart_construction_core.view_sc_payment_execution_form,sc.payment.execution.runtime.default.form,contract_auto_with_default_tabs,9,35,9,0,0,0,1,5,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.plan.report,smart_construction_core.view_sc_plan_report_form,sc.plan.report.runtime.default.form,contract_auto_with_default_tabs,8,18,6,0,0,0,0,4,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.project.stage.requirement.item,smart_construction_core.view_sc_project_stage_requirement_item_form,sc.project.stage.requirement.item.runtime.default.form,contract_auto_with_default_tabs,7,6,1,0,0,0,0,0,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.project.structure,smart_construction_core.view_sc_project_structure_form,sc.project.structure.runtime.default.form,contract_auto_with_default_tabs,8,11,3,0,0,0,0,0,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.receipt.income,smart_construction_core.view_sc_receipt_income_form,sc.receipt.income.runtime.default.form,contract_auto_with_default_tabs,9,35,8,0,0,0,1,4,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.receipt.invoice.line,smart_construction_core.view_receipt_invoice_line_form,sc.receipt.invoice.line.runtime.default.form,contract_auto_with_default_tabs,9,23,6,0,0,1,0,10,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.risk.item,smart_construction_core.view_sc_risk_item_form,sc.risk.item.runtime.default.form,contract_auto_with_default_tabs,7,9,3,0,0,0,0,0,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.risk.library,smart_construction_core.view_sc_risk_library_form,sc.risk.library.runtime.default.form,contract_auto_with_default_tabs,7,12,1,0,0,0,0,0,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.salary.summary,smart_construction_core.view_sc_salary_summary_form,sc.salary.summary.runtime.default.form,contract_auto_with_default_tabs,8,14,4,0,0,0,0,1,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.settlement.adjustment,smart_construction_core.view_sc_settlement_adjustment_form,sc.settlement.adjustment.runtime.default.form,contract_auto_with_default_tabs,9,17,7,0,0,0,1,0,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.tax.deduction.registration,smart_construction_core.view_sc_tax_deduction_registration_form,sc.tax.deduction.registration.runtime.default.form,contract_auto_with_default_tabs,9,25,7,0,0,0,1,5,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.treasury.ledger,smart_construction_core.view_sc_treasury_ledger_form,sc.treasury.ledger.runtime.default.form,contract_auto_with_default_tabs,8,14,7,0,0,0,0,3,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.treasury.reconciliation,smart_construction_core.view_sc_treasury_reconciliation_form,sc.treasury.reconciliation.runtime.default.form,contract_auto_with_default_tabs,9,22,6,0,0,0,1,0,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_button_box;missing_chatter
P0_contract_default_tabs,sc_other,business_document,sc.workflow.node,smart_construction_core.view_sc_workflow_node_form,sc.workflow.node.runtime.default.form,contract_auto_with_default_tabs,7,9,3,0,0,0,0,0,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,tender,business_document,tender.doc.purchase,smart_construction_core.view_tender_doc_purchase_form,tender.doc.purchase.runtime.default.form,contract_auto_with_default_tabs,9,19,10,0,0,0,1,4,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_button_box;missing_chatter
P0_contract_default_tabs,tender,business_document,tender.guarantee,smart_construction_core.view_tender_guarantee_form,tender.guarantee.runtime.default.form,contract_auto_with_default_tabs,8,10,5,0,0,0,0,0,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,tender,business_document,tender.opening,smart_construction_core.view_tender_opening_form,tender.opening.runtime.default.form,contract_auto_with_default_tabs,7,11,5,0,0,0,0,0,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_ready_baseline,contract,business_document,construction.contract,smart_construction_core.view_construction_contract_form,construction.contract.runtime.default.form,auto_standardizable,14,74,5,1,2,0,1,7,可直接作为项目式结构标准化输入,missing_button_box;missing_chatter
P0_ready_baseline,contract,business_document,construction.contract.expense,smart_construction_core.view_construction_contract_expense_form,construction.contract.expense.runtime.default.form,auto_standardizable,14,56,4,1,3,0,1,5,可直接作为项目式结构标准化输入,missing_button_box;missing_chatter
P0_ready_baseline,contract,business_document,construction.contract.income,smart_construction_core.view_construction_contract_income_form,construction.contract.income.runtime.default.form,auto_standardizable,14,63,4,1,3,0,1,5,可直接作为项目式结构标准化输入,missing_button_box;missing_chatter
P0_ready_baseline,material,business_document,sc.material.acceptance,smart_construction_core.view_sc_material_acceptance_form,sc.material.acceptance.runtime.default.form,auto_standardizable,14,39,6,1,4,0,1,4,可直接作为项目式结构标准化输入,missing_button_box;missing_chatter
P0_ready_baseline,material,business_document,sc.material.inbound,smart_construction_core.view_sc_material_inbound_form,sc.material.inbound.runtime.default.form,auto_standardizable,14,29,5,1,3,0,1,3,可直接作为项目式结构标准化输入,missing_button_box;missing_chatter
P0_ready_baseline,material,business_document,sc.material.outbound,smart_construction_core.view_sc_material_outbound_form,sc.material.outbound.runtime.default.form,auto_standardizable,14,25,5,1,3,0,1,4,可直接作为项目式结构标准化输入,missing_button_box;missing_chatter
P0_ready_baseline,material,business_document,sc.material.purchase.request,smart_construction_core.view_sc_material_purchase_request_form,sc.material.purchase.request.runtime.default.form,auto_standardizable,14,25,5,1,3,0,1,3,可直接作为项目式结构标准化输入,missing_button_box;missing_chatter
P0_ready_baseline,material,business_document,sc.material.rfq,smart_construction_core.view_sc_material_rfq_form,sc.material.rfq.runtime.default.form,auto_standardizable,14,36,5,1,3,0,1,5,可直接作为项目式结构标准化输入,missing_button_box;missing_chatter
P0_ready_baseline,material,business_document,sc.material.settlement,smart_construction_core.view_sc_material_settlement_form,sc.material.settlement.runtime.default.form,auto_standardizable,14,27,6,1,3,0,1,3,可直接作为项目式结构标准化输入,missing_button_box;missing_chatter
P0_ready_baseline,project,business_document,project.boq.line,smart_construction_core.view_project_boq_line_form,project.boq.line.runtime.default.form,auto_standardizable,13,33,13,1,2,0,0,1,可直接作为项目式结构标准化输入,missing_statusbar;missing_button_box;missing_chatter
P0_ready_baseline,project,business_document,project.budget,smart_construction_core.view_project_budget_form,project.budget.runtime.default.form,auto_standardizable,13,23,3,1,1,0,0,1,可直接作为项目式结构标准化输入,missing_statusbar;missing_button_box;missing_chatter
P0_ready_baseline,project,business_document,project.project,project.edit_project,project.project.runtime.default.form,auto_standardizable,15,49,11,1,3,1,1,0,可直接作为项目式结构标准化输入,missing_chatter
P0_ready_baseline,sc_other,business_document,sc.approval.policy,smart_construction_core.view_sc_approval_policy_form,sc.approval.policy.runtime.default.form,auto_standardizable,13,19,9,1,2,0,0,0,可直接作为项目式结构标准化输入,missing_statusbar;missing_button_box;missing_chatter
P0_ready_baseline,sc_other,business_document,sc.ar.ap.company.summary,smart_construction_core.view_sc_ar_ap_company_summary_form,sc.ar.ap.company.summary.runtime.default.form,auto_standardizable,13,26,6,1,3,0,0,0,可直接作为项目式结构标准化输入,missing_statusbar;missing_button_box;missing_chatter
P0_ready_baseline,sc_other,business_document,sc.ar.ap.project.summary,smart_construction_core.view_sc_ar_ap_project_summary_form,sc.ar.ap.project.summary.runtime.default.form,auto_standardizable,13,26,6,1,3,0,0,0,可直接作为项目式结构标准化输入,missing_statusbar;missing_button_box;missing_chatter
P0_ready_baseline,sc_other,business_document,sc.business.entity,smart_construction_core.view_sc_business_entity_form,sc.business.entity.runtime.default.form,auto_standardizable,13,18,6,1,2,0,0,6,可直接作为项目式结构标准化输入,missing_statusbar;missing_button_box;missing_chatter
P0_ready_baseline,sc_other,business_document,sc.document.admin.document,smart_construction_core.view_sc_document_admin_document_form,sc.document.admin.document.runtime.default.form,auto_standardizable,14,28,8,1,2,0,1,4,可直接作为项目式结构标准化输入,missing_button_box;missing_chatter
P0_ready_baseline,sc_other,business_document,sc.fund.account,smart_construction_core.view_sc_fund_account_form,sc.fund.account.runtime.default.form,auto_standardizable,14,15,3,1,1,0,1,1,可直接作为项目式结构标准化输入,missing_button_box;missing_chatter
P0_ready_baseline,sc_other,business_document,sc.fund.account.operation,smart_construction_core.view_sc_fund_account_operation_form,sc.fund.account.operation.runtime.default.form,auto_standardizable,14,29,5,1,1,0,1,6,可直接作为项目式结构标准化输入,missing_button_box;missing_chatter
P0_ready_baseline,sc_other,business_document,sc.general.contract,smart_construction_core.view_sc_general_contract_form,sc.general.contract.runtime.default.form,auto_standardizable,14,61,7,1,1,0,1,0,可直接作为项目式结构标准化输入,missing_button_box;missing_chatter
P0_ready_baseline,sc_other,business_document,sc.hr.payroll.document,smart_construction_core.view_sc_hr_payroll_document_form,sc.hr.payroll.document.runtime.default.form,auto_standardizable,14,32,10,1,1,0,1,4,可直接作为项目式结构标准化输入,missing_button_box;missing_chatter
P0_ready_baseline,sc_other,business_document,sc.office.admin.document,smart_construction_core.view_sc_office_admin_document_form,sc.office.admin.document.runtime.default.form,auto_standardizable,14,25,7,1,2,0,1,4,可直接作为项目式结构标准化输入,missing_button_box;missing_chatter
P0_ready_baseline,sc_other,business_document,sc.partner.import.review,smart_construction_core.view_sc_partner_import_review_form,sc.partner.import.review.runtime.default.form,auto_standardizable,14,36,8,1,3,0,1,9,可直接作为项目式结构标准化输入,missing_button_box;missing_chatter
P0_ready_baseline,sc_other,business_document,sc.settlement.order,smart_construction_core.view_sc_settlement_order_form,sc.settlement.order.runtime.default.form,auto_standardizable,14,58,9,1,5,0,1,0,可直接作为项目式结构标准化输入,missing_button_box;missing_chatter
P1_semantic_annotation,contract,business_document,construction.work.breakdown,smart_construction_core.view_project_wbs_form,construction.work.breakdown.runtime.default.form,needs_semantic_annotation,12,21,3,1,3,0,0,0,结构基本可用，建议补 group/page 标题或 data-sc-anchor,missing_labelled_group;missing_statusbar;missing_button_box;missing_chatter
P1_semantic_annotation,equipment,business_document,sc.equipment.plan,smart_construction_core.view_sc_equipment_plan_form,sc.equipment.plan.runtime.default.form,needs_semantic_annotation,13,20,4,1,3,0,1,3,结构基本可用，建议补 group/page 标题或 data-sc-anchor,missing_labelled_group;missing_button_box;missing_chatter
P1_semantic_annotation,equipment,business_document,sc.equipment.price,smart_construction_core.view_sc_equipment_price_form,sc.equipment.price.runtime.default.form,needs_semantic_annotation,13,16,4,1,2,0,1,3,结构基本可用，建议补 group/page 标题或 data-sc-anchor,missing_labelled_group;missing_button_box;missing_chatter
P1_semantic_annotation,equipment,business_document,sc.equipment.request,smart_construction_core.view_sc_equipment_request_form,sc.equipment.request.runtime.default.form,needs_semantic_annotation,13,20,4,1,3,0,1,3,结构基本可用，建议补 group/page 标题或 data-sc-anchor,missing_labelled_group;missing_button_box;missing_chatter
P1_semantic_annotation,equipment,business_document,sc.equipment.settlement,smart_construction_core.view_sc_equipment_settlement_form,sc.equipment.settlement.runtime.default.form,needs_semantic_annotation,13,23,4,1,3,0,1,3,结构基本可用，建议补 group/page 标题或 data-sc-anchor,missing_labelled_group;missing_button_box;missing_chatter
P1_semantic_annotation,equipment,business_document,sc.equipment.usage,smart_construction_core.view_sc_equipment_usage_form,sc.equipment.usage.runtime.default.form,needs_semantic_annotation,13,17,4,1,2,0,1,3,结构基本可用，建议补 group/page 标题或 data-sc-anchor,missing_labelled_group;missing_button_box;missing_chatter
P1_semantic_annotation,labor,business_document,sc.labor.plan,smart_construction_core.view_sc_labor_plan_form,sc.labor.plan.runtime.default.form,needs_semantic_annotation,13,18,4,1,3,0,1,3,结构基本可用，建议补 group/page 标题或 data-sc-anchor,missing_labelled_group;missing_button_box;missing_chatter
P1_semantic_annotation,labor,business_document,sc.labor.price,smart_construction_core.view_sc_labor_price_form,sc.labor.price.runtime.default.form,needs_semantic_annotation,13,16,4,1,2,0,1,3,结构基本可用，建议补 group/page 标题或 data-sc-anchor,missing_labelled_group;missing_button_box;missing_chatter
P1_semantic_annotation,labor,business_document,sc.labor.request,smart_construction_core.view_sc_labor_request_form,sc.labor.request.runtime.default.form,needs_semantic_annotation,13,17,4,1,3,0,1,3,结构基本可用，建议补 group/page 标题或 data-sc-anchor,missing_labelled_group;missing_button_box;missing_chatter
P1_semantic_annotation,labor,business_document,sc.labor.settlement,smart_construction_core.view_sc_labor_settlement_form,sc.labor.settlement.runtime.default.form,needs_semantic_annotation,13,22,4,1,3,0,1,3,结构基本可用，建议补 group/page 标题或 data-sc-anchor,missing_labelled_group;missing_button_box;missing_chatter
P1_semantic_annotation,labor,business_document,sc.labor.usage,smart_construction_core.view_sc_labor_usage_form,sc.labor.usage.runtime.default.form,needs_semantic_annotation,13,15,4,1,3,0,1,3,结构基本可用，建议补 group/page 标题或 data-sc-anchor,missing_labelled_group;missing_button_box;missing_chatter
P1_semantic_annotation,material,business_document,sc.material.rental.order,smart_construction_core.view_sc_material_rental_order_form,sc.material.rental.order.runtime.default.form,needs_semantic_annotation,13,27,4,1,3,0,1,3,结构基本可用，建议补 group/page 标题或 data-sc-anchor,missing_labelled_group;missing_button_box;missing_chatter
P1_semantic_annotation,material,business_document,sc.material.rental.plan,smart_construction_core.view_sc_material_rental_plan_form,sc.material.rental.plan.runtime.default.form,needs_semantic_annotation,13,26,4,1,3,0,1,3,结构基本可用，建议补 group/page 标题或 data-sc-anchor,missing_labelled_group;missing_button_box;missing_chatter
P1_semantic_annotation,material,business_document,sc.material.rental.settlement,smart_construction_core.view_sc_material_rental_settlement_form,sc.material.rental.settlement.runtime.default.form,needs_semantic_annotation,13,27,4,1,3,0,1,3,结构基本可用，建议补 group/page 标题或 data-sc-anchor,missing_labelled_group;missing_button_box;missing_chatter
P1_semantic_annotation,project,business_document,project.dictionary,smart_construction_core.view_project_dictionary_form,project.dictionary.runtime.default.form,needs_semantic_annotation,12,13,2,1,1,0,0,0,结构基本可用，建议补 group/page 标题或 data-sc-anchor,missing_labelled_group;missing_statusbar;missing_button_box;missing_chatter
P1_semantic_annotation,project,business_document,project.material.plan,smart_construction_core.view_project_material_plan_form,project.material.plan.runtime.default.form,needs_semantic_annotation,14,27,3,1,3,1,1,0,结构基本可用，建议补 group/page 标题或 data-sc-anchor,missing_labelled_group;missing_chatter
P1_semantic_annotation,project,business_document,project.task,project.view_task_form2,project.task.runtime.default.form,needs_semantic_annotation,15,47,5,1,3,1,4,0,结构基本可用，建议补 group/page 标题或 data-sc-anchor,missing_labelled_group
